movie_id,person_id,role_type,character_name
93,771,actor,Sharon Riddell
93,772,actor,Johnny Riddell
93,773,actor,Jordan
93,774,actor,Charles Ardai
93,775,actor,Raggedy
93,776,actor,Ray
93,777,actor,Denise
93,778,director,
94,779,actor,Interviewer
94,780,"actor,director",Interviewer
94,781,actor,Interviewer
94,782,actor,Interviewer
94,783,actor,Interviewer
94,784,actor,Interviewer
94,785,actor,Nerd of the Undead
95,786,actor,Norman
95,787,director,
96,788,actor,Scott Huffman
96,789,actor,Tara Huffman
96,790,actor,Luke Huffman
96,791,actor,Celia O'Neal
96,792,actor,Carlton Stanton
96,793,actor,Tom Tulley
96,794,actor,Whit Peters
96,795,actor,William H. Pitsenbarger
96,796,actor,Frank Pitsenbarger
96,797,actor,Alice Pitsenbarger
96,798,director,
97,801,actor,Capitaine Pierre Mombin
97,804,director,
98,805,actor,S. Ramanujan
98,511,actor,G.H. Hardy
98,806,actor,Professor Cartwright
98,807,actor,Narasimha
98,808,actor,Narayana Iyer
98,809,actor,Sir Francis Spring
98,810,actor,Komalatammal
98,811,actor,Janaki
98,812,actor,Beglan
98,813,actor,John Edensor Littlewood
98,814,director,
99,815,"actor,director",Miles Davis
99,816,actor,Frances Taylor
99,440,actor,Dave Braden
99,817,actor,Harper
99,818,actor,Junior
99,819,actor,Walter
99,820,actor,Janice
99,821,actor,Dieter
99,822,actor,Bartender
99,823,actor,Manager
100,827,director,
101,710,actor,Sonja
101,828,actor,Draygan
101,829,actor,Annisia
101,830,actor,Osin The Untouched
101,831,actor,Hawk
101,832,actor,General Karlak
101,833,actor,Amarak
101,834,actor,Teresia
101,835,actor,Varla
101,836,actor,Ayala
101,837,director,
102,838,actor,Nikki Sixx
102,839,actor,Mick Mars
102,840,actor,Tommy Lee
102,841,actor,Vince Neil
102,842,actor,Excited Partygoer
102,843,actor,Kayla's Boyfriend
102,844,actor,Kayla
102,845,actor,Biker Chick
102,846,actor,"Frank Feranna, Jr., Age 8"
102,847,actor,Gino
102,848,director,
103,515,actor,Anduin Lothar
103,849,actor,Garona
103,850,actor,Medivh
103,851,actor,Llane Wrynn
103,852,actor,Durotan
103,852,actor,Antonidas
103,853,actor,Khadgar
103,854,actor,Orgrim
103,855,actor,Blackhand
103,856,actor,Gul'dan
103,857,actor,Lady Taria
103,858,director,
104,859,actor,Grand High Witch
104,860,actor,Grandma
104,861,actor,Mr Stringer
104,862,actor,Older Hero Mouse
104,863,actor,Hero Boy
104,864,actor,Reginald
104,865,actor,Basketball Kid
104,866,actor,Zelda
104,867,actor,Raymond
104,868,actor,Young Grandma
104,869,director,
105,870,actor,Lili
105,683,actor,Gerda
105,871,actor,Ulla
105,872,actor,Henrik
105,873,actor,Older Woman
105,874,actor,Rasmussen
105,875,actor,Elsa
105,876,actor,Niels
105,877,actor,Man at Window
105,878,actor,Stage Doorman
105,879,director,
106,880,actor,Georgie
106,881,actor,Lu
106,882,actor,The Dog with No Name
106,883,actor,Josh
106,884,actor,Brad
106,885,actor,Jim
106,886,actor,Yogi
106,887,actor,Ava
106,888,actor,Beaver
106,889,actor,Darkie
106,890,director,
107,891,actor,Dex
107,892,actor,Sonya
107,893,actor,Max
107,894,actor,Tasha
107,895,actor,Fiona
107,896,actor,Ana
107,897,actor,RC
107,898,actor,Karl - Dad
107,899,actor,Sarah - Mom
107,900,actor,Lipstick
107,901,director,
108,902,actor,Max
108,903,actor,Fang
108,904,actor,Angel
108,905,actor,Ari
108,906,actor,Gazzy
108,907,actor,Nudge
108,908,actor,Iggy
108,909,actor,Ella
108,910,actor,Young Max
108,911,actor,Young Ari
108,912,director,
109,913,"actor,director","The Pope, Rembrandt, Van Gogh's mother"
109,914,actor,Pope Joan
109,915,actor,Cardinal del Monte
109,916,actor,Abelard
109,917,actor,Cardinale Puccini
109,918,actor,Vincent Van Gogh
109,919,actor,Caravaggio
109,920,actor,Caravaggio
109,921,actor,Caravaggio
109,922,actor,Galileo's daughter
110,923,actor,Krystal Bryant
110,432,actor,Taylor Ogburn
110,924,actor,Willie
110,925,actor,Campbell Ogburn
110,926,actor,Poppy Ogburn
110,927,"actor,director",Dr. Wyatt Ogburn
110,928,actor,Bobby Bryant
110,929,actor,Bo
110,930,actor,Dr. Lyle Farley
110,931,actor,Vera Greenwood
111,932,actor,Pee-wee Herman
111,933,actor,Yul
111,933,actor,Party Coordinator
111,934,actor,Mr. Murgatroyd
111,935,actor,Mrs. Rose
111,936,actor,Ruby the Crossing Guard
111,937,actor,Marvin
111,938,actor,Emily
111,939,actor,Beverly
111,940,actor,Pharmacist
111,941,actor,Dan
111,942,director,
112,943,actor,Louis
112,944,actor,Rachel
112,945,actor,Jud
112,946,actor,Ellie
